# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Nov  2 16:07:55 2016
#
# COLUMN pl_hostname:    Host Name
# COLUMN pl_letter:      Planet Letter
# COLUMN pl_pnum:        Number of Planets in System
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_bmassj:      Planet Mass or M*sin(i)[Jupiter mass]
# COLUMN pl_bmassjerr1:  Planet Mass or M*sin(i)Upper Unc. [Jupiter mass]
# COLUMN pl_bmassjerr2:  Planet Mass or M*sin(i)Lower Unc. [Jupiter mass]
# COLUMN pl_bmassjlim:   Planet Mass or M*sin(i)Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter radii]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter radii]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter radii]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
#
rowid,pl_hostname,pl_letter,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim
16,30 Ari B,b,1,335.10000000,2.50000000,-2.50000000,0,9.88000,0.94000,-0.94000,0,,,,
17,4 UMa,b,1,269.30000000,1.96000000,-1.96000000,0,7.10000,1.60000,-1.60000,0,,,,
18,42 Dra,b,1,479.10000000,6.20000000,-6.20000000,0,3.88000,0.85000,-0.85000,0,,,,
19,47 UMa,b,3,1078.00000000,2.00000000,-2.00000000,0,2.53000,0.07000,-0.06000,0,,,,
20,47 UMa,c,3,2391.00000000,100.00000000,-87.00000000,0,0.54000,0.06600,-0.07300,0,,,,
21,47 UMa,d,3,14002.00000000,4018.00000000,-5095.00000000,0,1.64000,0.29000,-0.48000,0,,,,
22,51 Eri,b,1,,,,0,2.00000,,,0,,,,
23,51 Peg,b,1,4.23078500,0.00003600,-0.00003600,0,0.47200,0.03900,-0.03900,0,,,,
24,55 Cnc,b,5,14.65152000,0.00015000,-0.00015000,0,0.83060,0.00330,-0.00330,0,,,,
25,55 Cnc,c,5,44.41750000,0.00730000,-0.00730000,0,0.17140,0.00550,-0.00550,0,,,,
26,55 Cnc,d,5,4825.00000000,39.00000000,-39.00000000,0,3.87800,0.06800,-0.06800,0,,,,
27,55 Cnc,e,5,0.73653900,0.00000700,-0.00000700,0,0.02542,0.00098,-0.00098,0,0.170,0.007,-0.007,0
28,55 Cnc,f,5,262.00000000,0.51000000,-0.51000000,0,0.14100,0.01200,-0.01200,0,,,,
29,6 Lyn,b,1,874.77400000,16.27000000,-8.47000000,0,2.21000,0.11000,-0.16000,0,,,,
30,61 Vir,b,3,4.21500000,0.00060000,-0.00060000,0,0.01600,0.00200,-0.00200,0,,,,
31,61 Vir,c,3,38.02100000,0.03400000,-0.03400000,0,0.05700,0.00300,-0.00300,0,,,,
32,61 Vir,d,3,123.01000000,0.55000000,-0.55000000,0,0.07200,0.00800,-0.00800,0,,,,
33,7 CMa,b,1,796.00000000,7.40000000,-7.40000000,0,2.46000,0.14000,-0.14000,0,,,,
34,70 Vir,b,1,116.69260000,0.00140000,-0.00140000,0,7.40000,0.02000,-0.02000,0,,,,
35,75 Cet,b,1,691.90000000,3.60000000,-3.60000000,0,3.00000,,,0,,,,
36,8 UMi,b,1,93.40000000,4.50000000,-4.50000000,0,1.50000,0.20000,-0.20000,0,,,,
37,81 Cet,b,1,952.70000000,8.80000000,-8.80000000,0,5.30000,,,0,,,,
38,91 Aqr,b,1,181.40000000,0.10000000,-0.10000000,0,3.20000,,,0,,,,
39,AB Pic,b,1,,,,,13.50000,0.50000,-0.50000,0,,,,
40,BD+14 4559,b,1,268.94000000,0.99000000,-0.99000000,0,1.47000,,,0,,,,
41,BD+15 2375,b,1,153.22000000,0.44000000,-0.44000000,0,1.06100,0.27000,-0.27000,0,,,,
42,BD+15 2940,b,1,137.48000000,0.34000000,-0.34000000,0,1.11000,,,0,,,,
43,BD+20 1790,b,1,7.78287000,0.00077000,-0.00076000,0,6.37000,1.35000,-1.35000,0,,,,
44,BD+20 2457,b,2,379.63000000,2.01000000,-2.01000000,0,21.42000,,,0,,,,
45,BD+20 2457,c,2,621.99000000,10.20000000,-10.20000000,0,12.47000,,,0,,,,
46,BD+20 274,b,1,578.20000000,5.40000000,-5.40000000,0,4.20000,,,0,,,,
47,BD+20 594,b,1,41.68550000,0.00300000,-0.00310000,0,0.05129,0.01888,-0.01919,0,0.199,0.012,-0.010,0
48,BD+48 738,b,1,392.60000000,5.50000000,-5.50000000,0,0.91000,,,0,,,,
49,BD+49 828,b,1,2590.00000000,300.00000000,-180.00000000,0,1.60000,0.40000,-0.20000,0,,,,
50,BD-06 1339,b,2,3.87280000,0.00040000,-0.00040000,0,0.02700,0.00400,-0.00400,0,,,,
51,BD-06 1339,c,2,125.94000000,0.44000000,-0.44000000,0,0.17000,0.03000,-0.03000,0,,,,
52,BD-08 2823,b,2,5.60000000,0.02000000,-0.02000000,0,0.04500,0.00700,-0.00700,0,,,,
53,BD-08 2823,c,2,237.60000000,1.50000000,-1.50000000,0,0.33000,0.03000,-0.03000,0,,,,
54,BD-10 3166,b,1,3.48777000,0.00011000,-0.00011000,0,0.45800,0.03900,-0.03900,0,,,,
55,BD-11 4672,b,1,1667.00000000,33.00000000,-31.00000000,0,0.53000,0.05000,-0.05000,0,,,,
56,BD-13 2130,b,1,714.30000000,5.30000000,-5.30000000,0,10.60000,,,0,,,,
57,BD-17 63,b,1,655.60000000,0.60000000,-0.60000000,0,5.10000,0.12000,-0.12000,0,,,,
58,CFBDSIR J145829+101343,b,1,10037.50000000,2737.50000000,-2737.50000000,0,10.50000,4.50000,-4.50000,0,,,,
59,CHXR 73,b,1,,,,,12.56900,8.37900,-5.23700,0,,,,
60,CT Cha,b,1,,,,,17.00000,6.00000,-6.00000,0,2.200,0.810,-0.600,0
61,CoRoT-1,b,1,1.50895570,0.00000640,-0.00000640,0,1.03000,0.12000,-0.12000,0,1.490,0.080,-0.080,0
62,CoRoT-10,b,1,13.24060000,0.00020000,-0.00020000,0,2.75000,0.16000,-0.16000,0,0.970,0.070,-0.070,0
63,CoRoT-11,b,1,2.99433000,0.00001100,-0.00001100,0,2.33000,0.34000,-0.34000,0,1.430,0.030,-0.030,0
64,CoRoT-12,b,1,2.82804200,0.00001300,-0.00001300,0,0.91700,0.07000,-0.06500,0,1.440,0.130,-0.130,0
65,CoRoT-13,b,1,4.03519000,0.00003000,-0.00003000,0,1.30800,0.06600,-0.06600,0,0.885,0.014,-0.014,0
66,CoRoT-14,b,1,1.51214000,0.00013000,-0.00013000,0,7.60000,0.60000,-0.60000,0,1.090,0.070,-0.070,0
67,CoRoT-16,b,1,5.35227000,0.00020000,-0.00020000,0,0.53500,0.08500,-0.08300,0,1.170,0.160,-0.140,0
68,CoRoT-17,b,1,3.76810000,0.00030000,-0.00030000,0,2.43000,0.30000,-0.30000,0,1.020,0.070,-0.070,0
69,CoRoT-18,b,1,1.90006930,0.00000280,-0.00000280,0,3.47000,0.38000,-0.38000,0,1.310,0.180,-0.180,0
70,CoRoT-19,b,1,3.89713000,0.00002000,-0.00002000,0,1.11000,0.06000,-0.06000,0,1.290,0.030,-0.030,0
71,CoRoT-2,b,1,1.74299350,0.00000100,-0.00000100,0,3.47000,0.22000,-0.22000,0,1.466,0.042,-0.044,0
72,CoRoT-20,b,1,9.24285000,0.00030000,-0.00030000,0,4.24000,0.23000,-0.23000,0,0.840,0.040,-0.040,0
73,CoRoT-22,b,1,9.75598000,0.00011000,-0.00011000,0,0.03800,0.04400,-0.02800,0,0.435,0.015,-0.035,0
74,CoRoT-23,b,1,3.63130000,0.00010000,-0.00010000,0,2.80000,0.30000,-0.30000,0,1.050,0.130,-0.130,0
75,CoRoT-24,b,2,5.11340000,0.00060000,-0.00060000,0,0.01800,,,1,0.330,0.040,-0.040,0
76,CoRoT-24,c,2,11.75900000,0.00630000,-0.00630000,0,0.08800,0.03500,-0.03500,0,0.440,0.040,-0.040,0
77,CoRoT-25,b,1,4.86069000,0.00006000,-0.00006000,0,0.27000,0.04000,-0.04000,0,1.080,0.300,-0.100,0
78,CoRoT-26,b,1,4.20474000,0.00005000,-0.00005000,0,0.52000,0.05000,-0.05000,0,1.260,0.130,-0.070,0
79,CoRoT-27,b,1,3.57532000,0.00006000,-0.00006000,0,10.39000,0.55000,-0.55000,0,1.007,0.044,-0.044,0
80,CoRoT-28,b,1,5.20851000,0.00038000,-0.00038000,0,0.48400,0.08700,-0.08700,0,0.955,0.066,-0.066,0
81,CoRoT-29,b,1,2.85057000,0.00000600,-0.00000600,0,0.85000,0.20000,-0.20000,0,0.900,0.160,-0.160,0
82,CoRoT-3,b,1,4.25680000,0.00000500,-0.00000500,0,21.66000,1.00000,-1.00000,0,1.010,0.070,-0.070,0
83,CoRoT-4,b,1,9.20205000,0.00037000,-0.00037000,0,0.72000,0.08000,-0.08000,0,1.190,0.060,-0.050,0
84,CoRoT-5,b,1,4.03789620,0.00000190,-0.00000190,0,0.46700,0.04700,-0.02400,0,1.388,0.046,-0.047,0
85,CoRoT-6,b,1,8.88659300,0.00000400,-0.00000400,0,2.96000,0.34000,-0.34000,0,1.166,0.035,-0.035,0
86,CoRoT-7,b,2,0.85359159,0.00000057,-0.00000057,0,0.01800,0.00300,-0.00300,0,0.141,0.006,-0.006,0
87,CoRoT-7,c,2,3.69800000,0.00300000,-0.00300000,0,0.02643,0.00283,-0.00283,0,,,,
88,CoRoT-8,b,1,6.21229000,0.00003000,-0.00003000,0,0.22000,0.03000,-0.03000,0,0.570,0.020,-0.020,0
89,CoRoT-9,b,1,95.27380000,0.00140000,-0.00140000,0,0.84000,0.07000,-0.07000,0,1.050,0.040,-0.040,0
90,DENIS-P J082303.1-491201,b,1,246.36000000,1.38000000,-1.35000000,0,28.50000,1.90000,-1.90000,0,,,,
91,DH Tau,b,1,,,,,11.00000,10.00000,-3.00000,0,,,,
92,DP Leo,b,1,10220.00000000,730.00000000,-730.00000000,0,6.05000,0.47000,-0.58000,0,,,,
93,EPIC 211351816,b,1,8.40610000,0.00150000,-0.00150000,0,1.10000,0.11000,-0.11000,0,1.310,0.110,-0.110,0
94,EPIC 211391664,b,1,10.13675000,0.00033000,-0.00033000,0,0.10131,0.02549,-0.02549,0,0.384,0.027,-0.018,0
95,FU Tau,b,1,,,,,16.00000,,,0,,,,
96,Fomalhaut,b,1,555530.00000000,184690.00000000,-353320.00000000,0,,,,,,,,
97,GJ 1132,b,1,1.62893000,0.00003100,-0.00003100,0,0.00510,0.00173,-0.00173,0,0.103,0.010,-0.010,0
98,GJ 1214,b,1,1.58040456,0.00000016,-0.00000016,0,0.01970,0.00270,-0.00270,0,0.254,0.018,-0.018,0
99,GJ 15 A,b,1,11.44330000,0.00160000,-0.00160000,0,0.01700,0.00200,-0.00200,0,,,,
100,GJ 163,b,3,8.63100000,0.00100000,-0.00100000,0,0.03500,,,0,,,,
101,GJ 163,c,3,25.60000000,0.02000000,-0.02000000,0,0.02400,,,0,,,,
102,GJ 163,d,3,603.00000000,12.00000000,-12.00000000,0,0.07900,,,0,,,,
103,GJ 179,b,1,2288.00000000,59.00000000,-59.00000000,0,0.82000,0.07000,-0.07000,0,,,,
104,GJ 3021,b,1,133.71000000,0.20000000,-0.20000000,0,3.37000,0.09000,-0.09000,0,,,,
105,GJ 317,b,1,692.00000000,2.00000000,-2.00000000,0,2.50000,0.70000,-0.40000,0,,,,
106,GJ 328,b,1,4100.00000000,300.00000000,-300.00000000,0,2.30000,0.13000,-0.13000,0,,,,
107,GJ 3293,b,2,30.60000000,0.01000000,-0.01000000,0,0.08100,0.00500,-0.00500,0,,,,
108,GJ 3293,c,2,123.75000000,0.30000000,-0.30000000,0,0.08100,0.00500,-0.00500,0,,,,
109,GJ 3341,b,1,14.20700000,0.00700000,-0.00700000,0,0.02080,0.00030,-0.00030,0,,,,
110,GJ 3470,b,1,3.33664870,0.00000430,-0.00000330,0,0.04300,0.00500,-0.00500,0,0.346,0.029,-0.029,0
111,GJ 3634,b,1,2.64561000,0.00066000,-0.00066000,0,0.02600,0.01300,-0.00500,0,,,,
112,GJ 3998,b,2,2.64977000,0.00081000,-0.00077000,0,0.00777,0.00085,-0.00085,0,,,,
113,GJ 3998,c,2,13.74000000,0.01600000,-0.01600000,0,0.01970,0.00249,-0.00239,0,,,,
114,GJ 433,b,1,7.37090000,0.00080000,-0.00080000,0,0.01800,,,0,,,,
115,GJ 436,b,1,2.64388312,0.00000057,-0.00000057,0,0.07000,0.00700,-0.00700,0,0.372,0.015,-0.015,0
116,GJ 504,b,1,,,,,4.00000,4.50000,-1.00000,0,,,,
117,GJ 581,b,3,5.36860000,0.00010000,-0.00010000,0,0.04970,0.00090,-0.00090,0,,,,
118,GJ 581,c,3,12.91400000,0.00200000,-0.00200000,0,0.01730,0.00090,-0.00090,0,,,,
119,GJ 581,e,3,3.14900000,0.00020000,-0.00020000,0,0.00530,0.00060,-0.00060,0,,,,
120,GJ 649,b,1,598.30000000,4.20000000,-4.20000000,0,0.32800,0.03200,-0.03200,0,,,,
121,GJ 667 C,b,5,7.20040000,0.00170000,-0.00170000,0,0.01800,0.00400,-0.00400,0,,,,
122,GJ 667 C,c,5,28.14000000,0.05300000,-0.06500000,0,0.01200,0.00500,-0.00400,0,,,,
123,GJ 667 C,e,5,62.24000000,0.55000000,-0.55000000,0,0.00800,0.00500,-0.00400,0,,,,
124,GJ 667 C,f,5,39.02600000,0.19400000,-0.21100000,0,0.00800,0.00400,-0.00400,0,,,,
125,GJ 667 C,g,5,256.20000000,13.80000000,-7.90000000,0,0.01400,0.00800,-0.00700,0,,,,
126,GJ 674,b,1,4.69380000,0.00700000,-0.00700000,0,0.03500,,,0,,,,
127,GJ 676 A,b,4,1051.10000000,0.40000000,-0.40000000,0,6.70000,1.80000,-1.50000,0,,,,
128,GJ 676 A,c,4,7337.00000000,95.00000000,-92.00000000,0,6.80000,0.10000,-0.10000,0,,,,
129,GJ 676 A,d,4,3.60050000,0.00020000,-0.00020000,0,0.01400,0.00100,-0.00100,0,,,,
130,GJ 676 A,e,4,35.39000000,0.03000000,-0.04000000,0,0.02500,0.00200,-0.00200,0,,,,
131,GJ 687,b,1,38.14000000,0.01500000,-0.01500000,0,0.05800,0.00700,-0.00700,0,,,,
132,GJ 832,b,2,3657.00000000,104.00000000,-104.00000000,0,0.68000,0.09000,-0.09000,0,,,,
133,GJ 832,c,2,35.68000000,0.03000000,-0.03000000,0,0.01700,0.00300,-0.00300,0,,,,
134,GJ 849,b,1,1845.00000000,15.00000000,-15.00000000,0,0.91000,,,0,,,,
135,GJ 86,b,1,15.76491000,0.00039000,-0.00039000,0,3.91000,0.32000,-0.32000,0,,,,
136,GJ 876,b,4,61.11660000,0.00860000,-0.00860000,0,2.27560,0.00450,-0.00450,0,,,,
137,GJ 876,c,4,30.08810000,0.00820000,-0.00820000,0,0.71420,0.00390,-0.00390,0,,,,
138,GJ 876,d,4,1.93778000,0.00002000,-0.00002000,0,0.02100,0.00100,-0.00100,0,,,,
139,GJ 876,e,4,124.26000000,0.70000000,-0.70000000,0,0.04600,0.00500,-0.00500,0,,,,
140,GQ Lup,b,1,,,,,20.00000,,,0,3.000,0.500,-0.500,0
141,GSC 06214-00210,b,1,,,,,16.00000,1.00000,-1.00000,0,,,,
142,GU Psc,b,1,,,,,11.30000,1.70000,-1.70000,0,1.265,0.115,-0.115,0
143,HAT-P-1,b,1,4.46529976,0.00000055,-0.00000055,0,0.52500,0.01900,-0.01900,0,1.319,0.019,-0.019,0
144,HAT-P-11,b,1,4.88781620,0.00000710,-0.00000710,0,0.08100,0.00900,-0.00900,0,0.422,0.014,-0.014,0
145,HAT-P-12,b,1,3.21305980,0.00000210,-0.00000210,0,0.21100,0.01200,-0.01200,0,0.959,0.029,-0.021,0
146,HAT-P-13,b,2,2.91625000,0.00001500,-0.00001500,0,0.85100,0.03800,-0.03800,0,1.272,0.065,-0.065,0
147,HAT-P-13,c,2,446.27000000,0.22000000,-0.22000000,0,14.28000,0.28000,-0.28000,0,,,,
148,HAT-P-14,b,1,4.62766900,0.00000500,-0.00000500,0,2.23200,0.05900,-0.05900,0,1.150,0.052,-0.052,0
149,HAT-P-15,b,1,10.86350200,0.00002700,-0.00002700,0,1.94600,0.06600,-0.06600,0,1.072,0.043,-0.043,0
150,HAT-P-16,b,1,2.77596000,0.00000300,-0.00000300,0,4.19300,0.09400,-0.09400,0,1.289,0.066,-0.066,0
151,HAT-P-17,b,2,10.33852300,0.00000900,-0.00000900,0,0.53400,0.01800,-0.01800,0,1.010,0.029,-0.029,0
152,HAT-P-17,c,2,5584.00000000,7700.00000000,-2100.00000000,0,3.40000,1.10000,-0.70000,0,,,,
153,HAT-P-18,b,1,5.50802300,0.00000600,-0.00000600,0,0.19700,0.01300,-0.01300,0,0.995,0.052,-0.052,0
154,HAT-P-19,b,1,4.00877800,0.00000600,-0.00000600,0,0.29200,0.01800,-0.01800,0,1.132,0.072,-0.072,0
155,HAT-P-2,b,1,5.63347290,0.00000610,-0.00000610,0,9.09000,0.24000,-0.24000,0,1.157,0.073,-0.062,0
156,HAT-P-20,b,1,2.87531700,0.00000400,-0.00000400,0,7.24600,0.18700,-0.18700,0,0.867,0.033,-0.033,0
157,HAT-P-21,b,1,4.12448100,0.00000700,-0.00000700,0,4.06300,0.16100,-0.16100,0,1.024,0.092,-0.092,0
158,HAT-P-22,b,1,3.21222000,0.00000900,-0.00000900,0,2.14700,0.06100,-0.06100,0,1.080,0.058,-0.058,0
159,HAT-P-23,b,1,1.21288287,0.00000017,-0.00000017,0,2.07000,0.12000,-0.12000,0,1.224,0.037,-0.037,0
160,HAT-P-24,b,1,3.35524000,0.00000700,-0.00000700,0,0.68500,0.03300,-0.03300,0,1.242,0.067,-0.067,0
161,HAT-P-25,b,1,3.65283600,0.00001900,-0.00001900,0,0.56700,0.02200,-0.02200,0,1.190,0.081,-0.056,0
162,HAT-P-26,b,1,4.23451600,0.00001500,-0.00001500,0,0.05900,0.00700,-0.00700,0,0.565,0.072,-0.032,0
163,HAT-P-27,b,1,3.03957700,0.00000500,-0.00000600,0,0.62000,0.03000,-0.03000,0,1.020,0.070,-0.060,0
164,HAT-P-28,b,1,3.25721500,0.00000700,-0.00000700,0,0.62600,0.03700,-0.03700,0,1.212,0.113,-0.082,0
165,HAT-P-29,b,1,5.72318600,0.00004900,-0.00004900,0,0.77800,0.07600,-0.04000,0,1.107,0.136,-0.082,0
166,HAT-P-3,b,1,2.89973600,0.00000200,-0.00000200,0,0.59100,0.01800,-0.01800,0,0.827,0.055,-0.055,0
167,HAT-P-30,b,1,2.81059500,0.00000500,-0.00000500,0,0.71100,0.02800,-0.02800,0,1.340,0.065,-0.065,0
168,HAT-P-31,b,1,5.00542500,0.00009100,-0.00009200,0,2.17100,0.10500,-0.07700,0,1.070,0.240,-0.160,0
169,HAT-P-32,b,1,2.15000805,0.00000093,-0.00000097,0,,,,,1.789,0.025,-0.025,0
170,HAT-P-33,b,1,3.47447400,0.00000100,-0.00000100,0,0.76200,0.10100,-0.10100,0,1.686,0.045,-0.045,0
171,HAT-P-34,b,1,5.45265400,0.00001600,-0.00001600,0,3.32800,0.21100,-0.21100,0,1.197,0.128,-0.092,0
172,HAT-P-35,b,1,3.64670600,0.00002100,-0.00002100,0,1.05400,0.03300,-0.03300,0,1.332,0.098,-0.098,0
173,HAT-P-36,b,1,1.32734700,0.00000300,-0.00000300,0,1.83200,0.09900,-0.09900,0,1.264,0.071,-0.071,0
174,HAT-P-37,b,1,2.79743600,0.00000700,-0.00000700,0,1.16900,0.10300,-0.10300,0,1.178,0.077,-0.077,0
175,HAT-P-38,b,1,4.64038200,0.00003200,-0.00003200,0,0.26700,0.02000,-0.02000,0,0.825,0.092,-0.063,0
176,HAT-P-39,b,1,3.54387000,0.00000500,-0.00000500,0,0.59900,0.09900,-0.09900,0,1.571,0.108,-0.081,0
177,HAT-P-4,b,1,3.05653600,,,0,0.67100,0.03300,-0.04400,0,1.274,0.049,-0.060,0
178,HAT-P-40,b,1,4.45724300,0.00001000,-0.00001000,0,0.61500,0.03800,-0.03800,0,1.730,0.062,-0.062,0
179,HAT-P-41,b,1,2.69404700,0.00000400,-0.00000400,0,0.80000,0.10200,-0.10200,0,1.685,0.076,-0.051,0
180,HAT-P-42,b,1,4.64187800,0.00003200,-0.00003200,0,1.04400,0.08300,-0.08300,0,1.280,0.153,-0.153,0
181,HAT-P-43,b,1,3.33268700,0.00001500,-0.00001500,0,0.66200,0.06000,-0.06000,0,1.281,0.062,-0.033,0
182,HAT-P-44,b,2,4.30121900,0.00001900,-0.00001900,0,0.35200,0.02900,-0.02900,0,1.242,0.106,-0.051,0
183,HAT-P-44,c,2,872.20000000,1.70000000,-1.70000000,0,4.00000,1.40000,-0.80000,0,,,,
184,HAT-P-45,b,1,3.12899200,0.00002100,-0.00002100,0,0.89200,0.13700,-0.09900,0,1.426,0.175,-0.087,0
185,HAT-P-46,b,1,4.46312900,0.00004800,-0.00004800,0,0.49300,0.08200,-0.05200,0,1.284,0.271,-0.133,0
186,HAT-P-49,b,1,2.69154800,0.00000600,-0.00000600,0,1.73000,0.20500,-0.20500,0,1.413,0.128,-0.077,0
187,HAT-P-5,b,1,2.78849100,0.00002500,-0.00002500,0,1.06000,0.11000,-0.11000,0,1.260,0.050,-0.050,0
188,HAT-P-50,b,1,3.12201090,0.00000650,-0.00000650,0,1.35000,0.07300,-0.07300,0,1.288,0.064,-0.064,0
189,HAT-P-51,b,1,4.21802780,0.00000590,-0.00000590,0,0.30900,0.01800,-0.01800,0,1.293,0.054,-0.054,0
190,HAT-P-52,b,1,2.75359530,0.00000940,-0.00000940,0,0.81800,0.02900,-0.02900,0,1.009,0.072,-0.072,0
191,HAT-P-53,b,1,1.96162410,0.00000390,-0.00000390,0,1.48400,0.05600,-0.05600,0,1.318,0.091,-0.091,0
192,HAT-P-54,b,1,3.79984700,0.00001400,-0.00001400,0,0.76000,0.03200,-0.03200,0,0.944,0.028,-0.028,0
193,HAT-P-55,b,1,3.58524670,0.00000640,-0.00000640,0,0.58200,0.05600,-0.05600,0,1.182,0.055,-0.055,0
194,HAT-P-56,b,1,2.79083270,0.00000470,-0.00000470,0,2.18000,0.25000,-0.25000,0,1.466,0.040,-0.040,0
195,HAT-P-57,b,1,2.46529500,0.00000320,-0.00000320,0,1.85000,,,1,1.413,0.054,-0.054,0
196,HAT-P-6,b,1,3.85298500,0.00000500,-0.00000500,0,1.05700,0.11900,-0.11900,0,1.330,0.061,-0.061,0
197,HAT-P-65,b,1,2.60545520,0.00000310,-0.00000310,0,0.52700,0.08300,-0.08300,0,1.890,0.130,-0.130,0
198,HAT-P-66,b,1,2.97208600,0.00000570,-0.00000570,0,0.78300,0.05700,-0.05700,0,1.590,0.160,-0.100,0
199,HAT-P-7,b,1,2.20473720,0.00000110,-0.00000110,0,1.68200,0.02100,-0.02000,0,1.491,0.061,-0.061,0
200,HAT-P-8,b,1,3.07637760,0.00000400,-0.00000400,0,1.52000,0.18000,-0.16000,0,1.500,0.080,-0.060,0
201,HAT-P-9,b,1,3.92289000,0.00004000,-0.00004000,0,0.78000,0.09000,-0.09000,0,1.400,0.060,-0.060,0
202,HATS-1,b,1,3.44645900,0.00000400,-0.00000400,0,1.85500,0.26200,-0.19600,0,1.302,0.162,-0.098,0
203,HATS-10,b,1,3.31284600,0.00000580,-0.00000580,0,0.52600,0.08100,-0.08100,0,0.969,0.061,-0.045,0
204,HATS-11,b,1,3.61916130,0.00000990,-0.00000990,0,0.85000,0.12000,-0.12000,0,1.510,0.078,-0.078,0
205,HATS-12,b,1,3.14283300,0.00001100,-0.00001100,0,2.38000,0.11000,-0.11000,0,1.350,0.170,-0.170,0
206,HATS-13,b,1,3.04404990,0.00000270,-0.00000270,0,0.54300,0.07200,-0.07200,0,1.212,0.035,-0.035,0
207,HATS-14,b,1,2.76676410,0.00000270,-0.00000270,0,1.07100,0.07000,-0.07000,0,1.039,0.032,-0.022,0
208,HATS-15,b,1,1.74748753,0.00000094,-0.00000094,0,2.17000,0.15000,-0.15000,0,1.105,0.040,-0.040,0
209,HATS-16,b,1,2.68650200,0.00001100,-0.00001100,0,3.27000,0.19000,-0.19000,0,1.300,0.150,-0.150,0
210,HATS-17,b,1,16.25461100,0.00007300,-0.00007300,0,1.33800,0.06500,-0.06500,0,0.777,0.056,-0.056,0
